HV953             47.89  81.2845 -67.6442 49.1408 0.5429                         10.757 0.026 10.425 0.022 10.32  0.022 0.126 0.017
HV2338            42.239 76.5369 -71.2573 50.3807 0.5568                         11.155 0.034 10.8   0.029 10.693 0.027 0.116 0.017
OGLE-LMC-CEP-0186  5.379 72.7901 -69.1397 50.5153 0.5586 16.152 0.02 15.138 0.02                                        0.185 0.017
OGLE-LMC-CEP-0189  5.92  72.8149 -69.0881 50.5046 0.5585 15.684 0.02 14.765 0.02                                        0.18  0.017
OGLE-LMC-CEP-0191  3.354 72.8248 -69.7624 50.6003 0.5595 16.034 0.02 15.327 0.02                                        0.155 0.017
OGLE-LMC-CEP-0194  3.146 72.8426 -70.5921 50.7264 0.561  16.23  0.02 15.473 0.02                                        0.147 0.017
OGLE-LMC-CEP-0197  2.618 72.8516 -68.6128 50.4348 0.5578 16.4   0.02 15.679 0.02                                        0.141 0.017
OGLE-LMC-CEP-0199  4.3   72.8657 -69.4895 50.5545 0.559  15.949 0.02 15.134 0.02                                        0.163 0.017
OGLE-LMC-CEP-0201  2.571 72.8824 -68.2258 50.3802 0.5572 16.45  0.02 15.689 0.02                                        0.126 0.017
OGLE-LMC-CEP-0209  3.123 72.9695 -69.0969 50.4839 0.5582 16.193 0.02 15.451 0.02                                        0.176 0.017
OGLE-LMC-CEP-0210  4.787 72.9807 -68.6705 50.4238 0.5576 15.773 0.02 14.898 0.02                                        0.145 0.017
OGLE-LMC-CEP-0212 12.327 72.9997 -68.8908 50.451  0.5578 14.854 0.02 13.914 0.02                                        0.16  0.017
OGLE-LMC-CEP-0215  2.545 73.0232 -69.2556 50.4988 0.5583 16.817 0.02 15.987 0.02                                        0.173 0.017
OGLE-LMC-CEP-0216  3.399 73.0232 -69.3908 50.5182 0.5585 16.08  0.02 15.351 0.02                                        0.163 0.017
OGLE-LMC-CEP-0217  3.041 73.0256 -69.7692 50.5737 0.5592 16.494 0.02 15.708 0.02                                        0.151 0.017
OGLE-LMC-CEP-0222  2.697 73.0556 -68.8566 50.4383 0.5577 16.335 0.02 15.623 0.02                                        0.157 0.017
OGLE-LMC-CEP-0223  8.239 73.0556 -69.8672 50.5844 0.5593 15.15  0.02 14.292 0.02                                        0.146 0.017
OGLE-LMC-CEP-0224  3.78  73.058  -69.0117 50.4594 0.5579 15.492 0.02 14.455 0.02                                        0.167 0.017
OGLE-LMC-CEP-0226  2.609 73.064  -68.8291 50.4333 0.5576 16.313 0.02 15.597 0.02                                        0.155 0.017
OGLE-LMC-CEP-0227  3.797 73.0654 -70.242  50.6411 0.56   15.291 0.02 14.408 0.02                                        0.131 0.017
OGLE-LMC-CEP-0229  4.564 73.081  -69.3837 50.5091 0.5584 16.044 0.02 15.201 0.02                                        0.163 0.017
OGLE-LMC-CEP-0230  3.691 73.0827 -69.0914 50.4671 0.558  15.926 0.02 15.184 0.02                                        0.172 0.017
OGLE-LMC-CEP-0235  4.762 73.111  -69.1697 50.4742 0.5581 15.983 0.02 15.143 0.02                                        0.174 0.017
OGLE-LMC-CEP-0236  3.296 73.114  -69.5152 50.5237 0.5586 16.526 0.02 15.64  0.02                                        0.155 0.017
OGLE-LMC-CEP-0239  4.751 73.1332 -69.739  50.5544 0.5589 15.678 0.02 14.953 0.02                                        0.149 0.017
OGLE-LMC-CEP-0250  6.18  73.2004 -68.6461 50.3888 0.5572 15.188 0.02 14.432 0.02                                        0.148 0.017
OGLE-LMC-CEP-0254  2.787 73.2098 -68.5101 50.3692 0.557  16.351 0.02 15.669 0.02                                        0.145 0.017
OGLE-LMC-CEP-0257  6.23  73.2203 -68.0237 50.3047 0.5564 15.392 0.02 14.705 0.02                                        0.121 0.017
OGLE-LMC-CEP-0258  5.025 73.2259 -69.2764 50.4733 0.558  15.52  0.02 14.745 0.02                                        0.163 0.017
OGLE-LMC-CEP-0264  3.819 73.2521 -68.897  50.4158 0.5574 15.938 0.02 15.142 0.02                                        0.159 0.017
OGLE-LMC-CEP-0266  3.279 73.2544 -68.5403 50.3668 0.5569 16.538 0.02 15.672 0.02                                        0.144 0.017
OGLE-LMC-CEP-0267  2.791 73.2621 -68.9079 50.4159 0.5574 16.56  0.02 15.745 0.02                                        0.159 0.017
OGLE-LMC-CEP-0269  3.819 73.2872 -70.1378 50.5949 0.5594 15.79  0.02 15.115 0.02                                        0.125 0.017
OGLE-LMC-CEP-0270  3.602 73.2886 -68.2113 50.3186 0.5565 15.746 0.02 15.156 0.02                                        0.136 0.017
OGLE-LMC-CEP-0274  4.526 73.297  -69.0416 50.4297 0.5575 15.606 0.02 14.891 0.02                                        0.162 0.017
OGLE-LMC-CEP-0275  3.078 73.3063 -69.6523 50.5176 0.5585 16.365 0.02 15.572 0.02                                        0.151 0.017
OGLE-LMC-CEP-0281  2.592 73.3411 -69.1556 50.4398 0.5576 17.075 0.02 16.154 0.02                                        0.164 0.017
OGLE-LMC-CEP-0282  2.823 73.3494 -68.5392 50.3529 0.5567 16.592 0.02 15.783 0.02                                        0.146 0.017
OGLE-LMC-CEP-0291  3.762 73.3907 -69.7593 50.5223 0.5585 16.086 0.02 15.294 0.02                                        0.147 0.017
OGLE-LMC-CEP-0293  3.148 73.4017 -68.6488 50.3603 0.5568 16.216 0.02 15.415 0.02                                        0.15  0.017
OGLE-LMC-CEP-0295  2.786 73.4039 -68.3646 50.3218 0.5564 16.315 0.02 15.565 0.02                                        0.141 0.017
OGLE-LMC-CEP-0296  3.687 73.409  -68.6673 50.3617 0.5568 16.135 0.02 15.319 0.02                                        0.15  0.017
OGLE-LMC-CEP-0299  3.461 73.4279 -70.3864 50.6158 0.5596 16.036 0.02 15.277 0.02                                        0.127 0.017
OGLE-LMC-CEP-0301  3.346 73.4402 -69.3913 50.4602 0.5578 16.354 0.02 15.531 0.02                                        0.16  0.017
OGLE-LMC-CEP-0304  3.652 73.4455 -69.3203 50.4491 0.5577 16.141 0.02 15.355 0.02                                        0.16  0.017
OGLE-LMC-CEP-0306  6.887 73.4573 -69.5683 50.4842 0.5581 15.173 0.02 14.342 0.02                                        0.153 0.017
OGLE-LMC-CEP-0308  6.776 73.5047 -69.3144 50.44   0.5576 15.512 0.02 14.673 0.02                                        0.161 0.017
OGLE-LMC-CEP-0313  3.098 73.5234 -68.9253 50.3813 0.557  16.353 0.02 15.56  0.02                                        0.147 0.017
OGLE-LMC-CEP-0316  3.735 73.5539 -67.8251 50.2303 0.5556 15.865 0.02 15.114 0.02                                        0.11  0.017
OGLE-LMC-CEP-0317  3.118 73.5574 -68.0348 50.2563 0.5558 16.418 0.02 15.615 0.02                                        0.117 0.017
OGLE-LMC-CEP-0319  2.592 73.5615 -69.0372 50.3918 0.5571 16.303 0.02 15.564 0.02                                        0.15  0.017
OGLE-LMC-CEP-0321  3.296 73.5782 -68.8449 50.3622 0.5567 16.225 0.02 15.446 0.02                                        0.142 0.017
OGLE-LMC-CEP-0324  3.191 73.5905 -69.2284 50.4154 0.5573 17.112 0.02 16.056 0.02                                        0.153 0.017
OGLE-LMC-CEP-0325  3.193 73.5905 -69.7945 50.5005 0.5582 16.299 0.02 15.495 0.02                                        0.151 0.017
OGLE-LMC-CEP-0328 34.46  73.599  -70.9016 50.6791 0.5604 13.124 0.02 12.088 0.02 11.46  0.031 11.111 0.027 11.001 0.024 0.133 0.017
OGLE-LMC-CEP-0329  3.927 73.6015 -70.9234 50.6825 0.5605 15.797 0.02 15.091 0.02                                        0.133 0.017
OGLE-LMC-CEP-0331  6.871 73.6171 -68.4984 50.3088 0.5562 15.452 0.02 14.491 0.02                                        0.147 0.017
OGLE-LMC-CEP-0332  4.296 73.6404 -70.3268 50.5781 0.5592 15.483 0.02 14.684 0.02                                        0.124 0.017
OGLE-LMC-CEP-0333  5.55  73.652  -71.2567 50.7338 0.5612 15.613 0.02 14.762 0.02                                        0.151 0.017
OGLE-LMC-CEP-0335  2.871 73.6588 -68.0725 50.2463 0.5556 16.332 0.02 15.626 0.02                                        0.117 0.017
OGLE-LMC-CEP-0345  2.669 73.7067 -69.2416 50.4012 0.5571 17.168 0.02 16.18  0.02                                        0.146 0.017
OGLE-LMC-CEP-0346  3.046 73.7089 -69.2367 50.4002 0.5571 16.879 0.02 15.871 0.02                                        0.146 0.017
OGLE-LMC-CEP-0349  3.04  73.718  -69.2445 50.4001 0.5571 16.878 0.02 15.939 0.02                                        0.146 0.017
OGLE-LMC-CEP-0350  2.874 73.7189 -69.1744 50.3897 0.557  16.861 0.02 15.936 0.02                                        0.146 0.017
OGLE-LMC-CEP-0351  3.501 73.7197 -69.2339 50.3983 0.5571 16.694 0.02 15.734 0.02                                        0.146 0.017
OGLE-LMC-CEP-0352  3.526 73.7252 -68.5416 50.2992 0.5561 15.999 0.02 15.222 0.02                                        0.151 0.017
OGLE-LMC-CEP-0356 12.684 73.7307 -70.2564 50.5548 0.5589 14.598 0.02 13.694 0.02                                        0.122 0.017
OGLE-LMC-CEP-0357  4.381 73.7319 -68.9403 50.354  0.5566 15.908 0.02 15.137 0.02                                        0.138 0.017
OGLE-LMC-CEP-0360 22.086 73.7552 -69.6722 50.4593 0.5577 14.39  0.02 13.394 0.02                                        0.151 0.017
OGLE-LMC-CEP-0361  2.92  73.7556 -70.1801 50.5391 0.5587 16.238 0.02 15.512 0.02                                        0.121 0.017
OGLE-LMC-CEP-0362  3.025 73.756  -71.0374 50.6824 0.5605 16.187 0.02 15.452 0.02                                        0.138 0.017
OGLE-LMC-CEP-0367 29.867 73.7762 -67.4758 50.154  0.5548 13.77  0.02             11.948 0.026 11.542 0.024 11.426 0.023 0.107 0.017
OGLE-LMC-CEP-0369  3.338 73.7777 -71.0816 50.6873 0.5605 16.115 0.02 15.34  0.02                                        0.142 0.017
OGLE-LMC-CEP-0370  2.68  73.7785 -69.0749 50.3669 0.5567 16.68  0.02 15.849 0.02                                        0.141 0.017
OGLE-LMC-CEP-0373  2.881 73.7985 -69.329  50.4014 0.5571 16.084 0.02 15.399 0.02                                        0.147 0.017
OGLE-LMC-CEP-0378  2.64  73.821  -69.3372 50.3995 0.5571 16.345 0.02 15.618 0.02                                        0.147 0.017
OGLE-LMC-CEP-0380  7.088 73.8392 -68.6665 50.3002 0.556  15.683 0.02 14.701 0.02                                        0.151 0.017
OGLE-LMC-CEP-0382  2.796 73.8434 -68.8219 50.3214 0.5562 16.483 0.02 15.678 0.02                                        0.139 0.017
OGLE-LMC-CEP-0384  3.186 73.8499 -68.5436 50.2816 0.5559 16.146 0.02 15.414 0.02                                        0.152 0.017
OGLE-LMC-CEP-0385  4.274 73.8562 -68.5415 50.2804 0.5558 16.468 0.02 15.788 0.02                                        0.152 0.017
OGLE-LMC-CEP-0387  2.769 73.8804 -68.8835 50.325  0.5563 16.434 0.02 15.67  0.02                                        0.133 0.017
OGLE-LMC-CEP-0390  3.436 73.8919 -68.9464 50.3324 0.5563 15.858 0.02 15.185 0.02                                        0.131 0.017
