RR Lac       8.846 0.006  7.814 0.015 6.977 0.008 6.628 0.010 6.488 0.011 M11
RS Nor      10.019 0.018  8.541 0.013
RS Ori       8.410 0.011  7.282 0.012 6.408 0.016 6.027 0.017 5.880 0.019 M11
RS Pup       7.008 0.006  5.478 0.006 4.341 0.009 3.830 0.007 3.605 0.008 L92, W84
RT Aur       5.469 0.076  4.811 0.043 4.236 0.008 3.998 0.007 3.906 0.006 B97, M11
RU Sct                                5.909 0.008 5.298 0.007 5.036 0.009 L92, W84, M11
RV Sco       7.046 0.006  5.907 0.006
RW Cam       8.657 0.010              5.828 0.012 5.291 0.013 5.093 0.010 M11
RW Cas       9.248 0.019  7.871 0.020 6.841 0.024 6.372 0.011 6.194 0.026 M11
RX Aur       7.670 0.007              5.737 0.008 5.363 0.011 5.233 0.017 M11
RX Cam       7.670 0.012              5.178 0.023 4.732 0.020 4.561 0.012 M11
RY CMa       8.109 0.006  7.133 0.006
RY Sco       7.999 0.006  6.253 0.006 4.899 0.006 4.368 0.006 4.102 0.007 L92, W84
RY Vel       8.376 0.006  6.827 0.006 5.604 0.008 5.124 0.007 4.886 0.006 L92, W84
RZ CMa       9.702 0.007  8.504 0.007
RZ Gem      10.048 0.249              7.612 0.010 7.169 0.009 6.970 0.015 M11
RZ Vel       7.089 0.006  5.862 0.006 4.889 0.012 4.463 0.007 4.267 0.006 L92
S Cru        6.601 0.006  5.732 0.006
S Mus        6.133 0.006  5.199 0.006 4.473 0.006 4.135 0.006 3.983 0.008 L92, W84
S Nor        6.427 0.006  5.428 0.006 4.652 0.006 4.286 0.006 4.131 0.008 L92, W84
S Sge        5.612 0.006  4.772 0.010 4.155 0.006 3.847 0.006 3.732 0.006 W84, B97
S TrA        6.391 0.006  5.592 0.006
SS CMa                    8.480 0.010
SS Sct                                6.299 0.008 5.938 0.006 5.807 0.008 W84, M11
ST Tau       8.243 0.014  7.171 0.016
ST Vel       9.699 0.006  8.286 0.006
SU Cyg       6.855 0.007  6.198 0.013 5.638 0.007 5.397 0.007 5.295 0.008 W84, M11
SV Mon       8.266 0.008  7.139 0.006 6.262 0.015 5.835 0.010 5.691 0.017 M11
SV Per       8.977 0.011              6.802 0.021 6.360 0.016 6.198 0.018 M11
SV Vel       8.583 0.006  7.329 0.006
SV Vul       7.216 0.006  5.697 0.009 4.571 0.006 4.077 0.006 3.887 0.006 W84, L92, B97, M11
SW Cas       9.713 0.007  8.438 0.020 7.412 0.009 6.987 0.013 6.820 0.015 M11
SW Vel       8.137 0.014  6.850 0.008 5.852 0.018 5.407 0.012 5.203 0.011 L92
SX Car       9.082 0.006  8.039 0.006
SX Per      11.223 0.104              8.769 0.010 8.352 0.007 8.187 0.013 M11
SX Vel       8.278 0.006  7.262 0.006 6.474 0.006 6.127 0.006 5.965 0.006 L92
SY Aur       9.069 0.009              6.923 0.009 6.530 0.012 6.367 0.014 M11
SY Nor       9.520 0.023  7.949 0.030
SZ Aql       8.636 0.011  7.082 0.015 5.865 0.008 5.351 0.006 5.138 0.006 B97, W84, L92, M11
SZ Cas       9.843 0.006  8.110 0.008
SZ Cyg       9.435 0.011  7.798 0.026 6.530 0.009 5.960 0.007 5.732 0.014 M11
T Ant        9.331 0.006  8.523 0.006
T Cru        6.570 0.006  5.608 0.006
T Mon        6.138 0.006  4.987 0.006 4.092 0.009 3.648 0.009 3.487 0.008 W84, L92, M11
T Vel        8.029 0.006  6.964 0.006 6.143 0.006 5.775 0.006 5.605 0.006 L92
T Vul        5.750 0.006  5.077 0.015 4.532 0.006 4.272 0.006 4.174 0.006 W84, B97
TT Aql       7.141 0.006  5.732 0.009 4.671 0.009 4.194 0.007 4.017 0.006 W84, M11, B97
TV CMa      10.587 0.011  9.173 0.011 8.035 0.008 7.588 0.011 7.386 0.014 M11
TV Cam      11.729 0.018
TW CMa       9.573 0.007  8.458 0.007 7.577 0.010 7.183 0.009 7.029 0.017 M11
TW Nor      11.670 0.007  9.306 0.010 7.406 0.022 6.705 0.013 6.358 0.029 L92, W84
TX Cen      10.527 0.006  8.618 0.006
TX Cyg       9.490 0.012  7.225 0.030 5.342 0.020 4.633 0.018 4.323 0.018 M11
TX Mon      10.960 0.010  9.634 0.008 8.581 0.013 8.121 0.013 7.943 0.017 M11
TY Sct      10.821 0.013  8.811 0.016 7.247 0.011 6.637 0.009 6.386 0.021 M11
TZ Mon      10.793 0.008  9.472 0.006 8.458 0.012 8.009 0.014 7.815 0.016 M11
TZ Mus      11.690 0.006 10.144 0.008
U Aql        6.432 0.006  5.271 0.010 4.389 0.012 3.999 0.009 3.844 0.010 W84, M11
U Car        6.284 0.006  5.052 0.006 4.104 0.007 3.674 0.006 3.483 0.006 L92, W84
U Nor                                 5.825 0.006 5.236 0.006 4.944 0.006 L92
U Sgr        6.697 0.006  5.436 0.006 4.512 0.006 4.100 0.006 3.933 0.007 W84, L92, M11
U Vul        7.122 0.006  5.602 0.011 4.528 0.009 4.093 0.007 3.912 0.006 B97, M11
UU Mus                                7.439 0.007 6.994 0.006 6.788 0.006 L92
UW Car       9.424 0.008  8.218 0.013
UX Car       8.295 0.006  7.554 0.006
UX Per      11.650 0.018
UY Car       8.948 0.006  8.007 0.010
UY Per      11.319 0.013  9.493 0.016
UZ Car       9.327 0.006  8.365 0.006
UZ Cas      11.379 0.007
UZ Sct      11.289 0.022  9.148 0.035 7.418 0.010 6.741 0.010 6.485 0.016 M11
V Car        7.368 0.006  6.433 0.006 5.728 0.006 5.396 0.006 5.249 0.006 L92
V Cen        6.830 0.006  5.794 0.006 4.995 0.006 4.638 0.006 4.479 0.009 L92, W84
V Lac        8.932 0.007
V Vel        7.586 0.006  6.691 0.006
V0339 Cen    8.714 0.013  7.384 0.010
V0340 Ara   10.228 0.014  8.580 0.007
V0340 Nor    8.403 0.008  7.167 0.008
V0350 Sgr    7.481 0.006  6.435 0.006 5.627 0.011 5.256 0.011 5.130 0.008 W84
V0378 Cen    8.479 0.006  7.260 0.006
V0381 Cen    7.675 0.006  6.791 0.006
V0386 Cyg    9.624 0.007              6.375 0.007 5.809 0.007 5.540 0.015 M11
V0395 Cas   10.748 0.019  9.447 0.035
V0402 Cyg    9.864 0.006              7.809 0.006 7.416 0.006 7.263 0.015 M11
V0459 Cyg   10.576 0.033  8.881 0.019 7.613 0.011 7.075 0.010 6.859 0.016 M11
V0470 Sco   11.005 0.008  8.246 0.007
V0493 Aql   11.046 0.006
V0496 Aql    7.769 0.006  6.489 0.008
V0496 Cen    9.945 0.006  8.539 0.006
V0508 Mon   10.502 0.006  9.461 0.006
V0520 Cyg   10.852 0.006  9.306 0.029
V0538 Cyg   10.449 0.009  8.971 0.049 7.803 0.007 7.311 0.006 7.119 0.008 M11
V0600 Aql   10.034 0.006  8.281 0.011
V0609 Cyg   11.026 0.017  8.683 0.015 6.832 0.013 6.128 0.010 5.800 0.017 M11
V0636 Cas    7.183 0.006
V0636 Sco    6.654 0.006  5.649 0.006
V0733 Aql    9.976 0.006  9.040 0.012
V0737 Cen    6.724 0.006  5.701 0.006
V1154 Cyg    9.186 0.006  8.180 0.018
V1162 Aql    7.806 0.006  6.850 0.007 6.143 0.008 5.814 0.017 5.682 0.020 M11
VV Cas      10.768 0.016  9.432 0.018 8.328 0.008 7.885 0.006 7.719 0.008 M11
VW Cen      10.263 0.007  8.783 0.006 7.555 0.007 7.015 0.006 6.775 0.006 L92
VW Cru       9.597 0.009  7.977 0.006
VW Pup      11.393 0.007 10.091 0.006
VY Car       7.460 0.006  6.283 0.006 5.375 0.015 4.943 0.010 4.760 0.010 L92, W84
VY Cyg       9.594 0.006  8.127 0.019 7.009 0.006 6.552 0.009 6.355 0.010 M11
VY Per      11.221 0.014  9.297 0.026
VY Sgr      11.469 0.012  9.129 0.013
VZ Cyg       8.970 0.008  7.966 0.015 7.201 0.007 6.864 0.006 6.721 0.006 B97, W84, M11
VZ Pup       9.657 0.009  8.302 0.006 7.277 0.007 6.830 0.006 6.626 0.006 L92
W Gem        7.012 0.049              5.129 0.033 4.771 0.026 4.656 0.021 M11
W Sgr        4.664 0.006  3.850 0.006
WW Car       9.750 0.010  8.644 0.007
WW Pup      10.599 0.010  9.525 0.007
WX Pup       9.070 0.007  7.968 0.006
WY Pup      10.599 0.013  9.662 0.008
WZ Pup      10.320 0.006  9.424 0.006
WZ Sgr       8.046 0.011  6.544 0.010 5.282 0.008 4.761 0.006 4.538 0.008 L92, W84, M11
X Cru        8.404 0.006
X Cyg        6.385 0.009  5.236 0.028 4.383 0.008 3.960 0.006 3.799 0.006 W84, B97
X Pup        8.517 0.011  7.161 0.006 6.077 0.023 5.599 0.011 5.386 0.011 L92
X Sct       10.031 0.017  8.613 0.033
X Sgr        4.548 0.006  3.652 0.006 2.950 0.007 2.635 0.007 2.505 0.010 F08, W84
X Vul        8.834 0.006  7.198 0.020 5.928 0.010 5.433 0.008 5.214 0.015 M11
XX Cen       7.824 0.006  6.743 0.006 5.914 0.008 5.541 0.006 5.375 0.007 L92, W84
XX Mon      11.914 0.007 10.505 0.009
XX Sgr       8.869 0.006  7.506 0.006 6.412 0.033 5.964 0.018 5.799 0.022 W84
XX Vel      10.676 0.006  9.302 0.006
XZ Car       8.597 0.006  7.248 0.006
Y Aur        9.809 0.044              7.660 0.007 7.291 0.008 7.133 0.026 M11
Y Lac        9.159 0.007  8.308 0.026 7.626 0.006 7.316 0.006 7.201 0.008 B97, M11
Y Oph        6.148 0.006  4.533 0.006 3.349 0.006 2.874 0.006 2.662 0.008 W84, L92
Y Sct                                 6.472 0.009 5.897 0.011 5.646 0.014 M11
Y Sgr        5.739 0.006  4.790 0.006
YZ Aur      10.346 0.009              7.498 0.015 6.905 0.011 6.689 0.024 M11
YZ Car       8.714 0.006  7.438 0.006
YZ Sgr       7.351 0.006  6.226 0.006 5.379 0.007 5.004 0.009 4.861 0.010 M11, W84
Z Lac        8.417 0.006  7.198 0.043 6.235 0.009 5.811 0.006 5.653 0.008 B97, M11
Z Sct                                 6.962 0.017 6.483 0.016 6.282 0.017 M11
{zeta} Gem   3.889 0.006  3.096 0.006 2.538 0.006 2.210 0.006 2.096 0.006 F08
