KQ Sco      28.705 0.472 0.021 0.91 0.852 0.041 F95  0.52 0.08 G15
LS Pup      14.147 0.214 0.016 1.25 0.452 0.009 F95 -0.12 0.11 G15
MW Cyg       5.955 0.542 0.019 1.21 0.651 0.039 F95  0.09 0.08 G14b
MZ Cen      10.354 0.221 0.017 0.84 0.782 0.077 F95  0.27 0.10 G15
QY Cen      17.752 0.293 0.021 1.02 1.213 0.216 F95  0.24 0.06 G14b
R Cru        5.826 1.078 0.028 1.16 0.156 0.012 F95  0.13 0.06 G14b
R Mus        7.510 1.076 0.018 1.07 0.149 0.030 F95 -0.08 0.06 G14b
R TrA        3.389 1.560 0.016 0.89 0.167 0.025 F95  0.19 0.06 G14b
RR Lac       6.416 0.424 0.015 1.10 0.267 0.023 F95  0.04 0.06 G14b
RS Nor       6.198 0.472 0.017 0.94 0.577 0.036 F95  0.18 0.08 G15
RS Ori       7.567 0.589 0.030 1.12 0.332 0.010 F95  0.11 0.09 G15
RS Pup      41.480 0.581 0.017 1.16 0.451 0.010 F95  0.07 0.15 G14b
RU Sct      19.704 0.526 0.024 0.87 0.914 0.017 F95  0.14 0.04 G15
RV Sco       6.061 1.257 0.021 0.81 0.343 0.007 F95  0.11 0.06 G14b
RW Cas      14.795 0.335 0.019 1.26 0.440 0.032 F95  0.22 0.08 G14b
RX Aur      11.624 0.654 0.021 0.98 0.254 0.020 F95  0.10 0.06 G14b
RY CMa       4.678 0.825 0.029 1.29 0.238 0.016 F95  0.00 0.15 G14b
RY Sco      20.323 0.764 0.032 0.73 0.654 0.044 F95  0.01 0.06 G15
RY Vel      28.136 0.376 0.021 1.07 0.539 0.012 F95 -0.05 0.15 G14b
RZ Vel      20.398 0.661 0.017 1.24 0.301 0.011 F95  0.05 0.15 G14b
S Cru        4.690 1.342 0.024 0.94 0.172 0.014 F95  0.11 0.06 G14b
S Nor        9.754 1.099 0.022 0.88 0.182 0.008 F95  0.02 0.09 G14b
S TrA        6.324 1.120 0.022 1.04 0.086 0.010 F95  0.21 0.06 G14b
SS CMa      12.361 0.307 0.013 1.11 0.551 0.012 F95  0.06 0.04 G15
SS Sct       3.671 0.934 0.023 0.84 0.340 0.022 F95  0.14 0.06 G14b
ST Tau       4.034 0.916 0.034 1.35 0.328 0.006 F95 -0.14 0.15 G14b
ST Vel       5.858 0.384 0.015 1.19 0.530 0.024 F95 -0.14 0.15 G14b
SV Mon      15.233 0.464 0.032 1.01 0.264 0.021 F95  0.12 0.08 G15
SV Vel      14.097 0.434 0.018 1.02 0.376 0.024 F95  0.12 0.06 G14b
SV Vul      44.993 0.402 0.021 1.20 0.474 0.024 F95  0.05 0.08 G14b
SW Cas       5.441 0.461 0.012 1.12 0.475 0.027 F95 -0.03 0.08 G14b
SW Vel      23.407 0.413 0.018 1.05 0.338 0.009 F95 -0.15 0.15 G14b
SX Car       4.860 0.515 0.022 1.25 0.323 0.026 F95  0.05 0.06 G14b
SX Per       4.290 0.313 0.019 1.19 0.537 0.046 F95 -0.03 0.06 G14b
SX Vel       9.550 0.501 0.019 1.02 0.237 0.014 F95 -0.18 0.15 G14b
SY Aur      10.145 0.462 0.020 1.08 0.386 0.040 F95 -0.07 0.15 G14b
SZ Aql      17.141 0.525 0.020 0.94 0.553 0.022 F95  0.18 0.08 G14b
SZ Cas      13.639 0.407 0.017 1.01 0.713 0.060 F95  0.07 0.06 G14b
SZ Cyg      15.110 0.445 0.012 0.96 0.594 0.004 F95  0.09 0.08 G14b
T Ant        5.898 0.312 0.014 1.18 0.300 0.030 A12 -0.20 0.06 G14b
T Cru        6.733 1.222 0.014 0.82 0.191 0.022 F95  0.14 0.06 G14b
T Vel        4.640 0.940 0.016 0.93 0.282 0.018 F95 -0.02 0.15 G14b
T Vul        4.435 1.719 0.058 1.20 0.092 0.017 F95  0.01 0.08 G14b
TT Aql      13.755 0.997 0.023 1.08 0.487 0.024 F95  0.22 0.06 G14b
TV CMa       4.670 0.420 0.015 1.20 0.574 0.029 F95  0.01 0.07 G15
TV Cam       5.295 0.237 0.018 1.11 0.560 0.023 F95  0.04 0.06 G14b
TW CMa       6.995 0.384 0.019 1.15 0.374 0.033 F95  0.04 0.09 G15
TW Nor      10.786 0.360 0.020 0.89 1.190 0.023 F95  0.27 0.10 G15
TX Cen      17.098 0.332 0.018 0.94 0.941 0.038 F95  0.44 0.12 G15
TX Cyg      14.710 0.829 0.019 0.95 1.123 0.005 F95  0.20 0.08 G14b
TY Sct      11.053 0.371 0.016 0.91 0.930 0.017 F95  0.37 0.06 G14b
TZ Mon       7.428 0.298 0.015 1.24 0.434 0.023 F95 -0.02 0.07 G15
TZ Mus       4.945 0.266 0.020 1.00 0.676 0.020 F95  0.10 0.06 G14b
U Car       38.829 0.561 0.023 1.23 0.276 0.013 F95  0.17 0.09 G14b
U Nor       12.644 0.625 0.019 0.98 0.868 0.038 F95  0.07 0.09 G14b
U Sgr        6.745 1.605 0.023 0.85 0.408 0.007 F95  0.08 0.08 G14b
UU Mus      11.636 0.306 0.012 1.01 0.431 0.041 F95  0.11 0.09 G14b
UX Car       3.682 0.653 0.019 1.02 0.102 0.023 F95 -0.10 0.15 G14b
UX Per       4.566 0.162 0.020 1.17 0.462 0.024 F95 -0.05 0.06 G14b
UY Car       5.544 0.455 0.014 0.94 0.188 0.017 F95  0.13 0.06 G14b
UY Per       5.365 0.415 0.015 1.17 0.888 0.013 F95  0.18 0.06 G14b
UZ Car       5.205 0.401 0.013 0.95 0.213 0.034 F95  0.13 0.06 G14b
UZ Cas       4.259 0.251 0.020 1.23 0.469 0.034 F95 -0.05 0.06 G14b
UZ Sct      14.744 0.324 0.025 0.91 0.959 0.023 F95  0.33 0.08 G15
V Car        6.697 0.797 0.014 1.04 0.164 0.013 F95 -0.06 0.15 G14b
V Cen        5.494 1.409 0.022 1.06 0.265 0.016 F95  0.04 0.09 G14b
V Lac        4.983 0.496 0.016 1.09 0.293 0.034 F95  0.06 0.06 G14b
V Vel        4.371 0.953 0.017 1.03 0.225 0.021 F95 -0.30 0.15 G14b
V0339 Cen    9.466 0.568 0.021 0.89 0.426 0.016 F95  0.06 0.03 G15
V0340 Ara   20.814 0.239 0.020 0.93 0.548 0.008 F95  0.33 0.09 G15
V0340 Nor   11.289 0.491 0.025 0.92 0.312 0.050 F95  0.07 0.07 G15
V0378 Cen    6.460 0.524 0.019 0.99 0.374 0.049 F95  0.08 0.06 G14b
V0381 Cen    5.079 0.818 0.020 1.06 0.206 0.013 F95  0.02 0.06 G14b
V0386 Cyg    5.258 0.894 0.013 0.95 0.907 0.033 F95  0.11 0.08 G14b
V0402 Cyg    4.365 0.410 0.011 0.92 0.455 0.062 F95  0.02 0.08 G14b
V0459 Cyg    7.251 0.382 0.014 1.09 0.775 0.024 F95  0.09 0.06 G14b
V0470 Sco   16.261 0.534 0.029 0.97 1.550 0.124 F95  0.16 0.06 G15
V0493 Aql    2.988 0.472 0.017 1.12 0.730 0.087 F95  0.03 0.06 G14b
V0496 Cen    4.424 0.563 0.013 0.94 0.579 0.031 F95  0.09 0.06 G14b
V0520 Cyg    4.049 0.437 0.012 1.03 0.754 0.075 F95  0.08 0.06 G14b
V0538 Cyg    6.119 0.394 0.017 0.99 0.656 0.021 F95  0.05 0.06 G14b
V0600 Aql    7.239 0.523 0.019 1.13 0.812 0.007 F95  0.03 0.08 G14b
V0609 Cyg   31.088 0.295 0.017 1.12 1.243 0.124 F95  0.22 0.06 G14b
V0636 Cas    8.377 1.372 0.018 1.02 0.593 0.065 F95  0.07 0.08 G14b
V0636 Sco    6.797 1.180 0.034 1.15 0.227 0.017 F95  0.10 0.06 G14b
V0733 Aql    6.179 0.244 0.015 0.98 0.106 0.011 A12  0.08 0.08 G14b
V0737 Cen    7.066 1.213 0.019 0.92 0.227 0.022 F95  0.14 0.06 G14b
V1154 Cyg    4.925 0.442 0.012 1.04 0.315 0.031 F95 -0.10 0.08 G14b
V1162 Aql    5.376 0.823 0.023 0.95 0.184 0.011 F95  0.01 0.08 G14b
VW Cen      15.036 0.260 0.016 1.06 0.424 0.022 F95  0.41 0.08 G15
VW Cru       5.265 0.738 0.016 0.85 0.640 0.046 F95  0.19 0.06 G14b
VY Car      18.890 0.565 0.017 0.92 0.270 0.019 F95 -0.06 0.15 G14b
VY Cyg       7.857 0.485 0.012 1.07 0.596 0.021 F95  0.00 0.08 G14b
VY Per       5.532 0.485 0.017 1.15 0.948 0.018 F95  0.04 0.06 G14b
VY Sgr      13.557 0.412 0.025 0.81 0.903 0.243 F95  0.33 0.12 G15
VZ Cyg       4.864 0.545 0.016 1.31 0.291 0.015 F95  0.05 0.08 G14b
VZ Pup      23.175 0.220 0.015 1.24 0.433 0.018 F95 -0.01 0.04 G15
W Gem        7.914 1.006 0.028 1.23 0.264 0.011 F95  0.02 0.06 G14b
WW Pup       5.517 0.212 0.016 1.14 0.334 0.017 F95  0.13 0.16 G15
WX Pup       8.937 0.387 0.015 1.06 0.306 0.018 F95 -0.15 0.15 G14b
WY Pup       5.251 0.258 0.013 1.02 0.259 0.031 F95 -0.10 0.08 G15
WZ Pup       5.027 0.281 0.017 1.35 0.196 0.022 F95 -0.07 0.06 G15
WZ Sgr      21.851 0.612 0.028 0.94 0.457 0.025 F95  0.28 0.08 G15
X Cru        6.220 0.654 0.019 0.95 0.294 0.019 F95  0.15 0.06 G14b
X Cyg       16.386 0.910 0.020 1.28 0.251 0.010 F95  0.10 0.08 G14b
X Pup       25.973 0.397 0.020 1.04 0.396 0.015 F95  0.02 0.08 G15
X Sct        4.198 0.634 0.019 0.80 0.581 0.030 F95  0.12 0.09 G15
X Sgr        7.013 2.843 0.141 1.22 0.189 0.020 F95 -0.21 0.30 G14b
X Vul        6.320 0.864 0.022 1.06 0.775 0.021 F95  0.07 0.08 G14b
XX Cen      10.953 0.570 0.026 1.24 0.245 0.012 F95  0.04 0.09 G14b
XX Mon       5.456 0.242 0.013 0.86 0.586 0.014 F95  0.01 0.08 G15
XX Sgr       6.424 0.724 0.027 1.10 0.493 0.016 F95 -0.01 0.06 G15
XX Vel       6.985 0.308 0.013 0.88 0.530 0.007 F95  0.11 0.06 G14b
XZ Car      16.651 0.473 0.018 1.05 0.372 0.026 F95  0.19 0.06 G14b
Y Aur        3.859 0.541 0.017 1.12 0.384 0.031 F95 -0.26 0.15 G14b
Y Lac        4.324 0.431 0.013 1.05 0.212 0.020 F95  0.03 0.06 G14b
Y Oph       17.125 1.348 0.036 1.03 0.606 0.030 F95  0.06 0.08 G14b
Y Sct       10.342 0.558 0.020 0.94 0.792 0.021 F95  0.23 0.06 G14b
YZ Aur      18.193 0.233 0.016 0.99 0.548 0.055 F95 -0.33 0.15 G14b
YZ Car      18.168 0.358 0.018 1.17 0.324 0.039 F95  0.00 0.06 G14b
YZ Sgr       9.554 0.860 0.024 0.95 0.289 0.007 F95  0.06 0.08 G14b
Z Lac       10.886 0.510 0.021 1.05 0.352 0.015 F95  0.10 0.06 G14b
Z Sct       12.901 0.357 0.018 0.90 0.535 0.039 F95  0.12 0.09 G15
