AA Gem      11.302 0.311 0.018 1.25 0.345 0.036 F95 -0.08 0.05 G15
AC Mon       8.014 0.383 0.019 1.38 0.507 0.033 F95 -0.03 0.06 G14b
AD Gem       3.788 0.370 0.020 0.97 0.206 0.048 F95 -0.14 0.06 G15
AD Pup      13.596 0.254 0.017 1.36 0.363 0.020 F95 -0.20 0.15 G14b
AE Vel       7.134 0.369 0.012 0.97 0.691 0.055 F95  0.14 0.06 G14b
AG Cru       3.837 0.758 0.020 1.02 0.242 0.020 F95  0.08 0.06 G14b
AP Pup       5.084 0.924 0.020 1.05 0.250 0.034 F95 -0.16 0.15 G14b
AP Sgr       5.058 1.217 0.024 0.88 0.184 0.015 F95  0.10 0.08 G14b
AQ Car       9.769 0.361 0.016 1.07 0.168 0.013 F95 -0.30 0.15 G14b
AQ Pup      30.149 0.294 0.023 1.18 0.531 0.017 F95  0.06 0.05 G15
AS Per       4.973 0.650 0.016 1.08 0.684 0.041 F95  0.14 0.06 G14b
AT Pup       6.665 0.604 0.016 1.04 0.166 0.011 F95 -0.22 0.15 G14b
AV Sgr      15.415 0.404 0.025 0.84 1.238 0.027 F95  0.35 0.17 G15
AW Per       6.464 1.093 0.029 1.16 0.479 0.016 F95  0.04 0.06 G14b
AY Cas       2.872 0.414 0.019 1.07 0.760 0.049 F95  0.02 0.06 G14b
AY Cen       5.310 0.574 0.014 0.95 0.357 0.066 F95  0.08 0.06 G14b
AY Sgr       6.570 0.546 0.019 0.85 0.840 0.009 F95  0.11 0.06 G15
BB Her       7.508 0.280 0.015 1.06 0.392 0.039 A12  0.26 0.06 G14b
BB Sgr       6.637 1.188 0.024 0.82 0.285 0.011 F95  0.08 0.08 G14b
BE Mon       2.706 0.504 0.017 1.17 0.549 0.036 F95  0.05 0.09 G15
BF Oph       4.068 1.189 0.024 0.84 0.261 0.016 F95  0.14 0.06 G14b
BG Vel       6.924 1.045 0.017 0.99 0.434 0.011 F95 -0.10 0.15 G14b
BK Aur       8.002 0.426 0.015 1.01 0.393 0.026 F95 -0.07 0.15 G14b
BM Per      22.952 0.334 0.022 0.99 0.919 0.059 F95  0.23 0.06 G14b
BM Pup       7.199 0.302 0.013 1.18 0.575 0.058 F95 -0.07 0.08 G15
BN Pup      13.673 0.301 0.015 1.25 0.422 0.017 F95  0.03 0.05 G15
BP Cas       6.273 0.442 0.013 1.02 0.864 0.014 F95  0.09 0.06 G14b
BZ Cyg      10.142 0.500 0.014 1.14 0.832 0.018 F95  0.19 0.08 G14b
CD Cas       7.801 0.412 0.014 1.06 0.745 0.012 F95  0.13 0.06 G14b
CD Cyg      17.074 0.394 0.016 1.01 0.512 0.021 F95  0.15 0.06 G14b
CE Pup      49.326 0.114 0.014 0.82 0.740 0.074 A12 -0.04 0.09 G14
CF Cas       4.875 0.316 0.012 1.04 0.556 0.021 F95  0.02 0.06 G14b
CG Cas       4.366 0.296 0.017 1.03 0.667 0.009 F95  0.09 0.06 G14b
CK Sct       7.415 0.490 0.020 0.97 0.816 0.024 F95  0.21 0.06 G14b
CN Car       4.933 0.342 0.014 0.96 0.438 0.049 F95  0.21 0.06 G14b
CP Cep      17.859 0.279 0.021 1.01 0.681 0.045 F95 -0.01 0.08 G14b
CR Cep       6.233 0.699 0.013 1.06 0.704 0.009 F95 -0.06 0.08 G14b
CR Ser       5.301 0.578 0.020 1.19 0.974 0.017 F95  0.12 0.08 G15
CS Mon       6.732 0.324 0.014 1.04 0.528 0.032 F95 -0.08 0.06 G14b
CS Ori       3.889 0.257 0.022 1.33 0.373 0.030 F95 -0.25 0.06 G15
CS Vel       5.905 0.272 0.016 0.91 0.716 0.027 F95  0.12 0.06 G14b
CV Mon       5.379 0.601 0.015 1.10 0.705 0.018 F95  0.09 0.09 G15
CY Car       4.266 0.427 0.011 0.93 0.409 0.043 F95  0.11 0.06 G14b
CY Cas      14.377 0.255 0.019 1.07 0.952 0.008 F95  0.06 0.08 G14b
CZ Cas       5.664 0.292 0.016 0.96 0.761 0.030 F95  0.07 0.06 G14b
DD Cas       9.812 0.346 0.013 1.05 0.486 0.016 F95  0.10 0.08 G14b
DF Cas       3.832 0.374 0.014 1.05 0.564 0.049 F95  0.13 0.08 G14b
DW Per       3.650 0.296 0.019 1.31 0.620 0.033 F95 -0.05 0.06 G14b
EK Mon       3.958 0.376 0.021 1.16 0.547 0.003 F95 -0.05 0.15 G14b
ER Car       7.719 0.869 0.015 0.82 0.111 0.016 F95  0.15 0.06 G14b
EX Vel      13.234 0.204 0.015 0.94 0.728 0.052 F95  0.07 0.06 G14b
FI Car      13.458 0.242 0.019 0.99 0.694 0.007 F95  0.31 0.06 G14b
FM Aql       6.114 1.014 0.026 1.26 0.635 0.019 F95  0.24 0.06 G14b
FN Aql       9.482 0.736 0.025 1.12 0.486 0.008 F95 -0.06 0.06 G14b
GH Cyg       7.818 0.417 0.014 1.07 0.608 0.023 F95  0.21 0.06 G14b
GI Cyg       5.783 0.273 0.017 1.01 0.734 0.073 F95  0.27 0.06 G14b
GQ Ori       8.616 0.408 0.021 0.87 0.224 0.013 F95  0.20 0.08 G15
GU Nor       3.453 0.565 0.015 0.87 0.683 0.029 F95  0.08 0.06 G15
GX Car       7.197 0.459 0.013 1.02 0.380 0.008 F95  0.14 0.06 G14b
GY Sge      51.790 0.342 0.023 0.95 1.183 0.111 F95  0.29 0.06 G14b
HW Car       9.199 0.397 0.012 0.94 0.181 0.018 F95  0.09 0.06 G14b
IQ Nor       8.220 0.535 0.018 0.97 0.676 0.044 F95  0.22 0.07 G15
IT Car       7.533 0.702 0.020 1.08 0.212 0.016 F95  0.14 0.06 G14b
KK Cen      12.180 0.152 0.018 1.03 0.555 0.033 F95  0.24 0.06 G14b
KN Cen      34.020 0.251 0.018 1.03 0.728 0.040 F95  0.55 0.12 G15
