IC 2602      R89        161 1.20  12.97  4.80 25 29.41 26 -3.49 0.89
IC 2602      R92        161 0.63  10.26  2.00 25 30.03 26 -3.72 1.13
IC 2602      R93        161 1.33  13.79  6.70 25 29.11 26 -3.60 0.82
IC 2602      R94        161 1.35  13.33  2.60 25 29.46 26 -3.56 0.86
IC 2602      R95        161 0.83  11.73  1.20 25 30.28 26 -2.90 0.97
IC 2602      R96        161 1.21  12.94  1.82 25 29.74 26 -3.18 0.89
IC 2391      VXR 12     146 0.84  11.86  3.86 35 29.63 35 -3.63 0.95
IC 2391      VXR 14     146 0.57  10.45  1.32 35 30.17 35 -3.59 1.08
IC 2391      VXR 35a    146 0.99  12.56  0.53 35 30.11 35 -3.00 0.91
IC 2391      VXR 38a    146 1.23  13.36  2.78 35 29.64 35 -3.32 0.85
IC 2391      VXR 41     146 1.25  13.57  5.80 35 29.66 35 -3.21 0.83
IC 2391      VXR 42a    146 1.54  15.88  1.81 35 29.35 35 -3.04 0.55
IC 2391      VXR 45a    146 0.80  10.70  0.22 35 30.10 35 -3.62 1.05
IC 2391      VXR 47     146 1.43  13.96  0.26 35 29.57 35 -3.41 0.80
IC 2391      VXR 62a    146 0.85  11.73  0.50 35 30.04 35 -3.30 0.96
IC 2391      VXR 70     146 0.63  10.85  2.67 35 29.84 35 -3.77 1.04
IC 2391      VXR 72     146 0.72  11.46  3.23 35 30.18 35 -3.21 0.98
IC 2391      VXR 76a    146 1.04  12.76  4.86 35 29.93 35 -3.11 0.90
IC 2391      VXR 77a    146 0.50   9.91  0.65 35 30.18 35 -3.77 1.17
alpha Persei HE 520     185 0.69  11.69  0.60 27 30.29 27 -3.10 1.05
alpha Persei HE 601     185 0.63  11.43  3.63 28 29.77 27 -3.71 1.08
alpha Persei HE 622     185 0.69  11.63  0.81 27 30.44 27 -2.98 1.05
alpha Persei HE 699     185 0.61  11.27  0.33 27 30.36 27 -3.19 1.09
alpha Persei AP 15      185 1.19  14.12  0.65 27 29.58 27 -3.08 0.79
alpha Persei AP 25      185 0.78  12.25  3.71 28 30.12 27 -3.07 0.99
alpha Persei AP 28      185 0.95  13.09  3.47 28 29.80 27 -3.09 0.90
alpha Persei AP 37      185 0.86  12.61  2.40 28 29.96 27 -3.11 0.95
alpha Persei AP 41      185 0.71  12.03  5.50 29 29.45 27 -3.82 1.01
alpha Persei AP 43      185 0.87  12.84  0.56 27 29.99 27 -3.00 0.92
alpha Persei AP 56      185 0.90  13.00  0.36 27 29.72 27 -3.21 0.91
alpha Persei AP 60      185 1.60  15.74  0.32 27 29.40 27 -3.16 0.67
alpha Persei AP 63      185 0.82  12.29  0.22 27 29.81 27 -3.37 0.98
alpha Persei AP 70      185 0.88  12.83  6.40 29 29.68 27 -3.33 0.93
alpha Persei AP 72      185 0.87  12.78  6.30 29 28.70 27 -4.30 0.93
alpha Persei AP 75      185 1.17  13.82  2.82 28 29.43 27 -3.32 0.82
alpha Persei AP 86      185 1.22  14.31  0.21 27 29.30 27 -3.29 0.78
alpha Persei AP 93      185 0.83  11.99  0.62 27 30.18 27 -3.13 1.01
alpha Persei AP 96      185 1.42  14.55  0.35 28 29.64 30 -3.11 0.76
alpha Persei AP 97      185 0.77  12.08  4.78 28 29.52 27 -3.74 1.00
alpha Persei AP 98      185 0.86  12.80  6.20 29 29.11 27 -3.90 0.93
alpha Persei AP 100     185 1.03  12.80  0.21 27 29.72 27 -3.37 0.93
alpha Persei AP 101     185 1.24  13.89  3.20 29 29.37 30 -3.42 0.81
alpha Persei AP 102     185 0.70  11.96  4.26 28 29.68 30 -3.65 1.02
alpha Persei AP 108     185 0.93  12.92  3.89 28 29.80 30 -3.21 0.92
alpha Persei AP 109     185 1.43  15.84  0.25 28 29.49 30 -2.82 0.66
alpha Persei AP 110     185 0.82  12.27  5.13 28 29.48 30 -3.76 0.98
alpha Persei AP 112     185 1.05  13.68  2.69 28 29.57 30 -3.19 0.83
alpha Persei AP 114     185 1.06  13.40  1.30 29 29.26 27 -3.55 0.86
alpha Persei AP 117     185 0.85  13.05  0.47 27 29.89 27 -3.00 0.90
alpha Persei AP 118     185 0.71  12.06  0.32 28 30.14 27 -3.11 1.01
alpha Persei AP 149     185 0.72  11.71  0.32 27 30.23 27 -3.14 1.04
alpha Persei AP 158     185 0.75  11.93  3.23 28 29.40 30 -3.96 1.02
alpha Persei AP 189     185 0.84  13.05  0.63 28 30.02 30 -2.92 0.90
alpha Persei AP 193     185 0.79  12.28  0.74 28 30.30 27 -2.84 0.98
alpha Persei AP 197     185 0.90  12.31  5.62 28 29.52 27 -3.70 0.98
alpha Persei AP 199     185 0.88  12.10  1.82 28 29.99 27 -3.30 1.00
alpha Persei AP 201     185 1.04  13.08  3.75 29 29.85 30 -3.14 0.90
alpha Persei AP 211     185 1.39  15.07  0.29 28 29.42 30 -3.05 0.73
alpha Persei AP 212     185 0.87  13.24  7.10 29 29.45 30 -3.47 0.88
Hyades       VB 21       45 0.81   9.14  8.98 31 28.78 33 -4.43 0.98
Hyades       VB 25       45 0.99   9.61 12.64 31 28.58 34 -4.50 0.94
Hyades       VB 26       45 0.74   8.62  9.39 31 28.56 33 -4.83 1.03
Hyades       VB 31       45 0.57   7.47  5.44 31 29.09 33 -4.72 1.14
Hyades       VB 43       45 0.91   9.40 10.26 31 28.36 33 -4.78 0.95
Hyades       VB 50       45 0.60   7.62  7.10 31 29.74 33 -4.02 1.13
Hyades       VB 52       45 0.60   7.80  7.96 31 29.01 33 -4.67 1.11
Hyades       VB 59       45 0.54   7.49  4.98 31 29.34 33 -4.46 1.14
Hyades       VB 63       45 0.65   8.08  7.73 31 29.09 33 -4.49 1.08
Hyades       VB 64       45 0.66   8.14  8.67 31 28.90 33 -4.66 1.07
Hyades       VB 65       45 0.54   7.42  5.87 31 29.06 33 -4.76 1.15
